Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer County,Customer City,Customer Zip Code,Order ID
Green Tea,Orangina-Schweppes,Tea,797,11359,6308,5051,6/12/2022,Sarah Rousseau,Sarthe,Le Mans,72935,1-8449-74044-651
Wine,Coca-Cola France,Alcoholic,374,11508,8987,2521,1/11/2022,Louise Fournier,Lot-et-Garonne,Agen,47111,1-8354-39038-969
Coffee,Coca-Cola France,Coffee,852,9924,8554,1370,10/1/2021,Inès Simon,Jura,Lons-le-Saunier,39205,0-4795-46261-546
Lemonade,Orangina-Schweppes,Soft Drink,322,7152,7155,-3,4/14/2021,Liam Simon,Mayenne,Laval,53248,0-8936-17087-929
Beer,Coca-Cola France,Alcoholic,139,11588,8042,3546,7/24/2021,Elisa Dubois,Manche,Saint-Lô,50826,1-9290-91490-629
Cola,Pernod Ricard Soft,Soft Drink,890,6175,6527,-352,2/13/2020,Charlotte Bernard,Essonne,Évry-Courcouronnes,91861,0-4026-43158-566
Coffee,Pernod Ricard Soft,Coffee,512,3509,2429,1080,12/24/2020,Clémence Lambert,Deux-Sèvres,Niort,79068,0-2367-53899-245
Wine,Coca-Cola France,Alcoholic,689,5950,6982,-1032,7/25/2021,Gabriel Bonnet,Calvados,Caen,14521,1-8885-53404-962
Coffee,Pernod Ricard Soft,Coffee,505,4264,3767,497,12/30/2020,Mathis Bertrand,Ariège,Foix,09342,0-7067-29689-915
Herbal Tea,Orangina-Schweppes,Tea,650,1059,1243,-184,8/27/2021,Liam Vincent,Loire,Saint-Étienne,42117,1-1333-28449-773
Lemonade,Pernod Ricard Soft,Soft Drink,788,10262,7858,2404,5/28/2020,Lucas Roux,Aube,Troyes,10636,0-1300-80468-219
Beer,Coca-Cola France,Alcoholic,592,8934,9883,-949,8/12/2022,Tom Vincent,Seine-Saint-Denis,Bobigny,93739,1-5346-36624-380
Herbal Tea,Coca-Cola France,Tea,343,8095,4478,3617,3/6/2020,Elisa Bonnet,Aveyron,Rodez,12856,1-8126-78920-639
Beer,Orangina-Schweppes,Alcoholic,950,6042,7081,-1039,7/9/2022,Hugo Bernard,Puy-de-Dôme,Clermont-Ferrand,63347,0-5633-15611-416
Green Tea,Coca-Cola France,Tea,327,7183,4274,2909,1/18/2023,Lucie Bonnet,Orne,Alençon,61556,0-447-15836-106
Coffee,Pernod Ricard Soft,Coffee,525,3469,1521,1948,6/16/2022,Ethan Richard,Aveyron,Rodez,12905,1-8178-59638-360
Herbal Tea,Coca-Cola France,Tea,825,2868,3132,-264,7/3/2022,Eva David,Indre,Châteauroux,36353,1-9142-81228-387
Herbal Tea,Coca-Cola France,Tea,313,4711,4413,298,7/12/2021,Pierre Richard,Landes,Mont-de-Marsan,40280,0-349-91650-574
