Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer County,Customer City,Customer Zip Code,Order ID
Beer,Coca-Cola GB,Alcoholic,858,7794,5975,1819,10/20/2023,Jessica Roberts,Ards and North Down,Bangor,BT20 4XA,0-8110-95699-20
Coffee,Fever-Tree,Coffee,197,3106,3503,-397,11/19/2021,Sophie Shah,West Sussex,Chichester,PO19 4TH,1-7104-17486-827
Vodka,Fever-Tree,Alcoholic,429,1882,2079,-197,7/15/2021,Isla Jones,Renfrewshire,Paisley,PA1 9PR,1-132-65982-657
Energy Drink,Fever-Tree,Soft Drink,347,9136,9913,-777,5/13/2023,Ava Jackson,Gloucestershire,Gloucester,GL1 4KJ,0-571-48036-269
Energy Drink,Fever-Tree,Soft Drink,310,10252,5996,4256,2/18/2022,Evie Evans,Mid Ulster,Cookstown,BT80 6LP,0-3154-36066-513
Green Tea,Britvic,Tea,381,11185,5320,5865,7/25/2022,Freddie Wilson,North Lanarkshire,Motherwell,ML1 9SC,1-5130-69318-447
Beer,Britvic,Alcoholic,902,10867,7875,2992,12/7/2021,Charlotte Patel,Norfolk,Norwich,NR1 1MD,0-3868-20104-527
Wine,Britvic,Alcoholic,649,4167,4601,-434,11/30/2021,Lily Williams,Hampshire,Winchester,SO23 7VF,1-7078-86674-173
Green Tea,Fever-Tree,Tea,196,1382,1221,161,2/10/2020,Arjun Jones,Warwickshire,Warwick,CV34 7BS,1-9158-18318-671
Black Tea,Fever-Tree,Tea,135,6413,4641,1772,5/26/2020,Jack Johnson,West Dunbartonshire,Dumbarton,G82 6FG,1-4482-89349-661
Vodka,Fever-Tree,Alcoholic,505,4264,2738,1526,5/18/2022,Lily Wood,Lincolnshire,Lincoln,LN1 4TA,1-2117-59166-27
Herbal Tea,Britvic,Tea,915,4697,4185,512,1/13/2023,George Patel,Carmarthenshire,Carmarthen,SA31 6PL,1-8141-33969-783
Vodka,Fever-Tree,Alcoholic,647,6640,7668,-1028,5/13/2023,Freya Mitchell,Wrexham,Wrexham,LL11 2PN,0-1094-14370-387
Vodka,Britvic,Alcoholic,244,1974,2365,-391,9/22/2020,Daisy King,Cardiff,Cardiff,CF10 8RR,0-4199-81256-211
Wine,Coca-Cola GB,Alcoholic,809,1171,1277,-106,12/6/2023,Isabella Carter,Shropshire,Shrewsbury,SY1 4LU,0-8330-90098-186
Coffee,Coca-Cola GB,Coffee,897,1405,955,450,1/16/2021,Samuel Clarke,East Riding of Yorkshire,Beverley,HU17 1CL,0-8768-77412-921
Energy Drink,Coca-Cola GB,Soft Drink,481,10758,6411,4347,8/31/2020,Isabella King,Hampshire,Winchester,SO23 8GP,0-6250-97914-675
Green Tea,Britvic,Tea,369,11259,7446,3813,4/21/2022,Samuel Johnson,Berkshire,Reading,RG1 2CK,0-6473-37063-134
Vodka,Coca-Cola GB,Alcoholic,347,6034,6873,-839,7/4/2023,Florence Walker,Kent,Maidstone,ME14 7CE,0-4452-28643-74
Green Tea,Fever-Tree,Tea,702,1548,652,896,4/29/2020,Ella Edwards,Tyne and Wear,Newcastle upon Tyne,NE1 2HK,1-4325-59219-965
Green Tea,Fever-Tree,Tea,292,10414,10864,-450,11/26/2023,Poppy Phillips,East Sussex,Eastbourne,BN21 1NX,0-7578-27477-821
Lemonade,Coca-Cola GB,Soft Drink,206,9180,7760,1420,8/19/2021,Zara Jones,North Lanarkshire,Motherwell,ML1 3TB,1-6018-68437-766
Herbal Tea,Fever-Tree,Tea,494,7868,4568,3300,6/24/2021,Leila Jackson,Swansea,Swansea,SA1 2HV,0-3473-20225-77
Green Tea,Coca-Cola GB,Tea,290,5586,2965,2621,10/29/2023,Poppy Evans,Dumfries and Galloway,Dumfries,DG1 8UH,0-6726-11602-165
Beer,Fever-Tree,Alcoholic,414,1974,1832,142,3/17/2021,Joseph Carter,South Lanarkshire,Hamilton,ML3 3PU,1-5272-44108-621
Energy Drink,Coca-Cola GB,Soft Drink,682,11117,5707,5410,8/27/2020,Liam Williams,Na h-Eileanan Siar,Stornoway,HS1 3LY,1-6007-66372-290
Black Tea,Britvic,Tea,879,4017,2386,1631,1/24/2022,Florence Singh,Monmouthshire,Monmouth,NP25 4TN,0-2566-10835-955
Wine,Coca-Cola GB,Alcoholic,471,8304,5370,2934,3/25/2022,Grace Singh,Antrim and Newtownabbey,Antrim,BT41 5CM,0-6178-59996-379
Coffee,Coca-Cola GB,Coffee,332,2242,1452,790,3/19/2021,Amelia Harris,Midlothian,Dalkeith,EH22 4LS,1-7601-61216-617
Lemonade,Fever-Tree,Soft Drink,658,6787,3966,2821,1/29/2021,Liam Wilson,Hertfordshire,Hertford,SG13 9XS,0-3645-73464-284
Green Tea,Britvic,Tea,624,1203,509,694,4/18/2020,Charlie Singh,Blaenau Gwent,Ebbw Vale,NP23 1YJ,1-2602-49682-637
Wine,Coca-Cola GB,Alcoholic,862,6257,4629,1628,8/16/2020,Charlie Jones,Gloucestershire,Gloucester,GL1 8TA,0-637-96479-526
Cola,Fever-Tree,Soft Drink,329,1560,1627,-67,8/17/2022,Charlie Roberts,Northumberland,Morpeth,NE61 4VS,1-9231-57942-93
Energy Drink,Britvic,Soft Drink,776,6419,7025,-606,4/15/2020,Emily Islam,South Yorkshire,Sheffield,S1 5HN,0-2635-96079-494
Energy Drink,Coca-Cola GB,Soft Drink,132,9148,9714,-566,1/3/2022,Edward Lewis,Armagh City Banbridge and Craigavon,Armagh,BT61 1CJ,0-7383-11227-227
Beer,Britvic,Alcoholic,959,8438,5248,3190,2/1/2021,Fatima Begum,Lisburn and Castlereagh,Lisburn,BT28 1HR,1-2872-86919-740
Cola,Britvic,Soft Drink,202,4427,3021,1406,7/15/2021,Isabella Jackson,Merseyside,Liverpool,L1 4JW,0-9329-41991-661
Energy Drink,Coca-Cola GB,Soft Drink,160,2406,970,1436,3/15/2021,Ava Watson,Blaenau Gwent,Ebbw Vale,NP23 2NU,0-6093-52727-202
Green Tea,Coca-Cola GB,Tea,665,8290,8229,61,2/18/2023,Yusuf Lewis,Mid and East Antrim,Ballymena,BT42 6RE,0-5131-65112-808
Lemonade,Britvic,Soft Drink,712,5679,2679,3000,12/1/2023,Freddie Thomas,Cumbria,Carlisle,CA1 9YW,0-8370-51720-906
Herbal Tea,Britvic,Tea,817,6597,6522,75,8/15/2023,Jack Johnson,Ceredigion,Aberystwyth,SY23 1NU,1-9292-94562-127
Beer,Coca-Cola GB,Alcoholic,476,3238,2172,1066,8/9/2023,Amelia Phillips,Aberdeen City,Aberdeen,AB10 8PU,0-7598-14847-301
Green Tea,Fever-Tree,Tea,975,7368,5975,1393,4/14/2020,Daniel Singh,Derry City and Strabane,Derry,BT48 7DY,1-4192-80663-872
Energy Drink,Fever-Tree,Soft Drink,569,3700,3928,-228,12/3/2020,Noah Cooper,Cardiff,Cardiff,CF10 7EC,0-6042-89061-798
Green Tea,Fever-Tree,Tea,802,3208,3596,-388,11/2/2023,Mia Smith,Cambridgeshire,Cambridge,CB1 7AB,1-9388-25681-878
Beer,Coca-Cola GB,Alcoholic,339,10707,4404,6303,9/22/2023,Samuel Turner,Wiltshire,Salisbury,SP1 1BV,0-4468-21005-177
Wine,Coca-Cola GB,Alcoholic,407,11523,4906,6617,9/14/2023,Benjamin Begum,Moray,Elgin,IV30 1FB,0-7414-88352-689
Black Tea,Coca-Cola GB,Tea,252,4010,3853,157,7/19/2021,Ruby Smith,Herefordshire,Hereford,HR1 9XB,1-8104-82768-777
Herbal Tea,Coca-Cola GB,Tea,846,781,452,329,1/6/2020,Henry White,Perth and Kinross,Perth,PH1 5YV,1-2134-95696-682
Green Tea,Fever-Tree,Tea,825,8820,8259,561,2/29/2020,Jack Roberts,Leicestershire,Leicester,LE1 5XH,0-8302-90341-248
Energy Drink,Fever-Tree,Soft Drink,623,8370,9761,-1391,5/26/2021,Isla Johnson,Norfolk,Norwich,NR1 6GP,0-556-72910-443
Lemonade,Fever-Tree,Soft Drink,205,6611,7084,-473,3/10/2022,Lily Johnson,Mid and East Antrim,Ballymena,BT42 8EW,0-3940-94570-498
Black Tea,Fever-Tree,Tea,376,10730,10308,422,11/4/2023,Edward Turner,Argyll and Bute,Lochgilphead,PA31 7SD,1-3098-22564-319
Vodka,Coca-Cola GB,Alcoholic,735,2395,2813,-418,7/20/2022,Jack Robinson,Oxfordshire,Oxford,OX1 1BH,0-9350-36896-71
Black Tea,Britvic,Tea,309,7829,7211,618,11/30/2021,Joseph Thomas,Neath Port Talbot,Port Talbot,SA13 6GP,1-755-99505-397
Green Tea,Coca-Cola GB,Tea,986,11829,6633,5196,1/9/2021,Yusuf Walker,Merseyside,Liverpool,L1 5YW,1-1889-93418-171
Cola,Fever-Tree,Soft Drink,609,9075,8794,281,6/13/2023,Thomas Harris,Berkshire,Reading,RG1 1CT,0-3558-29373-341
Vodka,Coca-Cola GB,Alcoholic,221,4703,5164,-461,2/27/2021,Mia Walker,Newport,Newport,NP20 4VH,0-2064-20287-693
Lemonade,Coca-Cola GB,Soft Drink,60,6279,5913,366,7/1/2023,Samuel Shah,Fermanagh and Omagh,Enniskillen,BT74 2AY,1-9298-94848-609
Coffee,Fever-Tree,Coffee,823,5815,3276,2539,3/8/2021,Leila Thomas,Suffolk,Ipswich,IP1 5GC,1-7155-33028-133
Vodka,Coca-Cola GB,Alcoholic,232,11076,11192,-116,11/4/2022,Alfie Turner,Newry Mourne and Down,Newry,BT35 7UX,1-9816-13742-168
Wine,Fever-Tree,Alcoholic,566,3668,1663,2005,10/24/2021,Priya Patel,West Yorkshire,Leeds,LS1 5DM,1-3645-64571-503
Vodka,Britvic,Alcoholic,620,5913,3899,2014,2/21/2021,Florence King,East Dunbartonshire,Kirkintilloch,G66 3KT,1-6139-29442-924
Beer,Britvic,Alcoholic,770,7586,8243,-657,2/5/2023,Arjun Ali,Edinburgh,Edinburgh,EH1 1AE,0-581-86820-110
Energy Drink,Britvic,Soft Drink,102,5749,6097,-348,4/28/2023,Lily Green,Hampshire,Winchester,SO23 4VB,1-4095-70910-584
Energy Drink,Fever-Tree,Soft Drink,682,8318,5572,2746,8/29/2021,Leila Jones,Nottinghamshire,Nottingham,NG1 9FG,1-387-68559-333
Vodka,Fever-Tree,Alcoholic,145,11541,7584,3957,9/1/2022,Evie Roberts,Warwickshire,Warwick,CV34 1KU,1-1481-76132-662
Coffee,Fever-Tree,Coffee,679,4743,1941,2802,11/17/2020,Evie Patel,West Dunbartonshire,Dumbarton,G82 8WB,1-5353-41574-339
Black Tea,Coca-Cola GB,Tea,488,3540,1927,1613,6/6/2020,Isabella Singh,Swansea,Swansea,SA1 2WA,0-6558-58963-605
Cola,Fever-Tree,Soft Drink,669,3551,2641,910,8/3/2021,Omar Shah,Suffolk,Ipswich,IP1 8MG,0-6575-88554-57
Energy Drink,Britvic,Soft Drink,247,1558,846,712,11/9/2023,Fatima Thompson,Somerset,Taunton,TA1 1CG,0-9912-57416-596
Cola,Coca-Cola GB,Soft Drink,397,10688,12276,-1588,1/14/2020,Sophie Edwards,Highland,Inverness,IV1 4KF,1-5047-86344-741
Vodka,Fever-Tree,Alcoholic,747,11140,11235,-95,6/13/2022,Lily Lewis,Falkirk,Falkirk,FK1 5MB,1-3069-98894-292
Beer,Coca-Cola GB,Alcoholic,187,11888,12484,-596,5/14/2023,Aisha Hussain,Devon,Exeter,EX1 9LL,0-2567-33032-845
Black Tea,Coca-Cola GB,Tea,560,1468,1474,-6,10/7/2020,Isla Lewis,Edinburgh,Edinburgh,EH1 7GL,1-9688-49834-506
Lemonade,Coca-Cola GB,Soft Drink,263,5740,6669,-929,11/19/2022,Omar Evans,Carmarthenshire,Carmarthen,SA31 3YU,0-4643-95969-130
Lemonade,Fever-Tree,Soft Drink,118,7489,6779,710,11/24/2021,Muhammad Wright,Berkshire,Reading,RG1 7PP,1-5688-58936-827
Green Tea,Britvic,Tea,650,10506,10653,-147,12/23/2021,Liam Singh,Gloucestershire,Gloucester,GL1 7LY,1-2364-95715-944
