Product,Company,Category,Units Sold,Revenue,Cost of Goods Sold,Profit,Purchase Date,Customer Name,Customer County,Customer City,Customer Zip Code,Order ID
Dormans Coffee,Coca-Cola Kenya,Coffee,151,2141,4956,-2815,2020-07-04,Moses Ochieng,Bungoma,Kasarani,54260,KE-114-35106-4
Dormans Coffee,Coca-Cola Kenya,Coffee,624,1620,1156,464,2021-04-09,Juma Njiru,Nakuru,Milimani,30541,KE-116-32565-52
Acacia Ridge Wine,Coca-Cola Kenya,Alcoholic,853,9978,1030,8948,2022-03-10,Tina Farah,Nairobi City,Parklands,60369,KE-034-53036-60
Kericho Gold Green Tea,Kericho Gold,Tea,962,5974,5279,695,2023-05-10,Grace Muriuki,Taita/Taveta,Likoni,77829,KE-148-44821-90
Kenya Cane,Kericho Gold,Alcoholic,719,3928,2828,1100,2020-11-19,Yusuf Achieng,Kisii,Ruaraka,66594,KE-185-81638-70
Minute Maid Citrus,Kericho Gold,Soft Drink,650,4708,4619,89,2021-09-14,Odhiambo Abdille,Meru,Ruaraka,33634,KE-049-39060-37
Dormans Coffee,Crown Beverages,Coffee,101,1398,955,443,2021-02-25,Kevin Maina,Meru,Githurai,68062,KE-148-07176-22
Stoney Tangawizi,Kericho Gold,Soft Drink,472,6069,4533,1536,2020-12-17,Chege Gitonga,Uasin Gishu,Manyatta,13124,KE-186-05075-14
Stoney Tangawizi,Coca-Cola Kenya,Soft Drink,562,9883,7180,2703,2021-12-21,Nancy Mugendi,Taita/Taveta,Mamboleo,37060,KE-155-72985-05
Burn Energy,Coca-Cola Kenya,Soft Drink,245,8617,1709,6908,2022-05-01,Quentin Gitonga,Nakuru,South B,60589,KE-197-18555-88
Dormans Coffee,Kericho Gold,Coffee,554,2116,1486,630,2023-07-04,Grace Muigai,Siaya,Kasarani,32589,KE-179-95975-39
Kericho Gold Herbal Tea,Kericho Gold,Tea,502,3428,5865,-2437,2021-02-27,Akinyi Onyango,Taita/Taveta,Utawala,45824,KE-135-55272-52
Burn Energy,Kericho Gold,Soft Drink,179,3093,3532,-439,2023-04-13,Hassan Kamau,Kericho,Changamwe,30428,KE-040-84959-79
Tusker Lager,Kericho Gold,Alcoholic,935,5668,3070,2598,2021-04-17,Fatuma Kariuki,Kisumu,Thika,62674,KE-140-34406-62
Stoney Tangawizi,Crown Beverages,Soft Drink,526,3082,7115,-4033,2020-07-29,Brian Namakhwa,Migori,Parklands,35927,KE-123-04717-4
Stoney Tangawizi,Kericho Gold,Soft Drink,671,5743,4554,1189,2022-11-17,Eunice Maina,Kilifi,Ruaka,29750,KE-032-09154-92
Acacia Ridge Wine,Coca-Cola Kenya,Alcoholic,279,3759,3448,311,2021-02-05,Faith Kariuki,Mombasa,Njoro,63908,KE-056-07078-78
Kericho Gold Black Tea,Coca-Cola Kenya,Tea,465,6829,4208,2621,2022-03-01,Patricia Njiru,Nairobi City,Utawala,51483,KE-039-28119-44
Acacia Ridge Wine,Kericho Gold,Alcoholic,192,9870,4795,5075,2021-06-08,Zipporah Namakhwa,Kisumu,Kahawa West,71417,KE-168-66323-47
Kericho Gold Green Tea,Coca-Cola Kenya,Tea,849,4659,7269,-2610,2021-05-31,George Wanjiru,Nyeri,Embakasi,42204,KE-144-46161-53
